"experiment","subject","condition","verbalStrategy1","verbalStrategy2","singleFeature","multipleFeature","holisticStrategy","singleDimType","combinedDimType"
"s4_shape+color","p105472","high","I used feedback, the problem was my memory - which I trusted too much and it failed me. I should have wrote down my notes. I don't know if this was the case but I just went off the color and shape of the left lower object.","The brown W zig zag one was right, and if was red it was left. Then the other shape was the opposite of those. It seemed to work when I could remember, but it got confusing and my memory sort of sucks. ",1,0,0,0,1
"s4_shape+color","p108274","high","I tried to look at which colors went together when. For instance, red and orange went together pretty often in group B so I would do that.","Red Brown Orange",0,1,0,1,0
"s4_shape+color","p127616","low","I tried to pay attention to the colors more than the shapes, I figured that I did not have any pink ones in category A so they must go to B and so on. ","Pink and Yellow",1,0,0,1,0
"s4_shape+color","p131774","low","I simply tried to remember which went where. I didn't use a particular rules. I was never able to discover one.","I tried to remember red, pink, green and gold. I tried to remember shapes by remembers what they looked like if applicable. Some looked like a person, others like a boat for instance.",0,0,0,0,0
"s4_shape+color","p133641","low","I didn't have  a rule, I just went with instinct.","I'm not sure, I just went with what felt right",0,0,0,0,0
"s4_shape+color","p189982","high","I labeled the bottom shapes and colors a certain way, and paid attention to the feed back. Dragon-red and Dragon brown were always opposites.","The red and brown.",1,0,0,0,1
"s4_shape+color","p191171","high","I noticed that the bottom right part seemed to change more and more significantly than the top part so I focused on that.  Eventually it seemed like that part was what really mattered for sorting.","The skinny candle-like shape and the rectangular shape, and whether it was red or brown.",1,0,0,0,1
"s4_shape+color","p22378","high","I had no specific strategy other than just putting them in whatever box I chose at the moment. ","none specifically, just dropped them in a box that I felt I wanted to put them in",0,0,0,0,0
"s4_shape+color","p244442","low","i did it randomly","no idea",0,0,0,0,0
"s4_shape+color","p249223","low","Well it was always the bottom right. The image which looked more like the triangle shark (idk) was always grey, right and the green L shark was always right as well. The opposite colors of those two shapes went to the other side.","Um... green and grey and the weird sharks either L or pointy triangle lol I sound so dumb",1,0,0,0,1
"s4_shape+color","p24961","high","I tried to just use one symbol and identify what category that was on both sides. I noticed a few pattern color combinations were always correct so I went from there.","red torch, brown whatever that wood looking thing was",1,0,0,0,1
"s4_shape+color","p250171","low","I said in my head that the purple bunny and green lady went in the same box while the green bunny and purple lady went in the same box. ","I used green and purple and the shape of a woman's face and a bunny. ",1,0,0,0,1
"s4_shape+color","p257898","high","I decided to try the experiment by thinking as little as possible and see how it would go. As it turns out it did not go too well but it certainly could have gone worse.","I did not consciously rely on either.",0,0,0,0,0
"s4_shape+color","p26531","high","I could never figure it out.","I randomly chose.",0,0,0,0,0
"s4_shape+color","p297829","high","I have no idea. I tried hard to understand the qualities that would separate the two, but I could not discern.","I tried to look at the separate shape and the separate colors.",0,0,0,0,0
"s4_shape+color","p331810","high","red piece seemed to be the real decision maker. Others counted but the red piece trumped everything","the chess price shape that was red.",1,0,0,0,1
"s4_shape+color","p347589","high","I usually tried to match one of the shapes up that were identical and just went with that.  ","purple",0,0,0,0,0
"s4_shape+color","p36072","high","It seemed like only the shape at the bottom mattered, so I ignored the top shape, and only tried to place the bottom shape in the correct category.","I used the shapes that were at the bottom.",1,0,0,1,0
"s4_shape+color","p369973","high","gut feeling","none ",0,0,0,0,0
"s4_shape+color","p404969","low","The test itself was easy because the shapes stayed consistent, along with most of the colors, so it was simply a matter of memorization. The phase I completed right before this section, however, confused me, because the shapes were suddenly different. I tried to wing it - in other words, I let my gut decide which was the right category.","Green was my guiding color, and salmon, also.",1,0,0,1,0
"s4_shape+color","p405952","low","It was hard to decide whether to sort images into which category. I did not notice a pattern at all. ","None",0,0,0,0,0
"s4_shape+color","p419438","high","","",0,0,0,0,0
"s4_shape+color","p437265","high","I used the feedback","purple",0,0,0,0,0
"s4_shape+color","p438046","high","I thought about the left side's color and shape and learned where it was accepted and rejected via trial and error.","I used the shapes on the left side. Usually they were red or brown.",1,0,0,0,1
"s4_shape+color","p458500","high","Honestly, guys, I couldn't sense a pattern at all with the shapes/colors.  It all seemed rather random to me.","None.  I could NOT detect a pattern at all.  Sorry.",0,0,0,0,0
"s4_shape+color","p464834","low","I was trying to use my memory to remember which category the shapes belonged to. It was definitely more difficult than I thought it would be.","I used all the shapes and colors I suppose.",0,0,0,0,0
"s4_shape+color","p470009","high","I only payed attention to the top section of each image. Brown went to the right and red went left, regardless of shape.","I explained this above. Brown to the right red to the left of the top section of each image.",1,0,0,1,0
"s4_shape+color","p510913","high","I sorted the images according to the symbol on the top half.","brown shape with stick and red w shape were A\nred shape with stick and brown w shape were B",1,0,0,0,1
"s4_shape+color","p557673","high","I went based on feel","I didn't have a particular method. ",0,0,0,0,0
"s4_shape+color","p568308","low","colors seemed to be more important","just colors",0,0,0,1,0
"s4_shape+color","p574421","high","I paid attention to the patterns of color, shape, and correctness","Shapes",0,0,0,0,0
"s4_shape+color","p578411","low","I could not discover the rules in play in the limited time with this experiment.","None of them, I just had to guess.",0,0,0,0,0
"s4_shape+color","p580791","high","I did not notice any patterns, I was guessing for the most part","just instinct",0,0,0,0,0
"s4_shape+color","p602324","high","I used the color and size of the shape on the left to determine which category each shape belonged to","Large brown and thin red went to the left, small brown and large red went to the right",1,0,0,0,1
"s4_shape+color","p628682","low","I used the feedback mostly. ","i tried to match the colors.",0,0,0,1,0
"s4_shape+color","p645962","high","I tried to find a pattern within the shapes and colors, but I could not seem to find one.  I am wondering now, if there was a pattern in the order that the shapes were presented, for example, the first and second go the left, third to the right, continue...?","I tried to look at the the correlation between the larger shapes and the colors presented together.",0,0,0,0,0
"s4_shape+color","p659223","low","I went by the colors and then by shape.","I sorted them green on the left, purple on the right.",1,0,0,1,0
"s4_shape+color","p672760","low","I did not use any rule, I could not figure out any rule as to why certain shapes went to either category.","None, I felt frustrated by trying to figure it out and getting nowhere, so the last trial I was just guessing.",0,0,0,0,0
"s4_shape+color","p748607","low","I tried to find patterns in certain colors/shapes being consistently in the same category.","The green one that looked like a leaf was always Category A... I think. When it was pink, I think it was Category B.",1,0,0,0,1
"s4_shape+color","p845989","low","","",0,0,0,0,0
"s4_shape+color","p869574","low","the white bunny and the lime green squarish thing went on the left. the lime green bunny and the other colored squarish things went on the right. i was only paying attention to the image on the left side. not the right side.","white bunny and lime green squarish thing go on the left. everything else goes on the right.",1,0,0,0,1
"s4_shape+color","p869590","high","I never caught on to the rule that dictating which box was correct.  Therefore, I performed poorly on the tests.","No clue",0,0,0,0,0
"s4_shape+color","p87255","high","Through shapes\n","all  shapes and colors",0,0,0,0,0
"s4_shape+color","p876657","high","I looked at one of the shapes. For the shape that looked like a swan on the left portion of the circle, I noticed if it is red the image should be sorted into Category A and if it was brown then it goes in Category B. For the ones that had the longish shape, if it was brown then it went in Category A. If it was red then it goes in Category B.","I used the shapes that were on the left portion of the circle which were either brown or red. I didn't pay attention to the orange and purple shapes at all.",1,0,0,0,1
"s4_shape+color","p881978","low","i use the shape ","square rectangle ",0,0,0,1,0
"s4_shape+color","p88402","low","I paid attention to feed back and tried to figure out the patterns but never did.","Green and purple colors",0,0,0,1,0
"s4_shape+color","p891178","high","If the leftmost figure in the image was the brown tree stump looking thing or the red leaf looking thing, it went into the lefthand box. If not, it went into the righthand box.","The color and shape of the leftmost figure in the image.",1,0,0,0,1
"s4_shape+color","p902869","high","In the beginning, I just guessed. However, I noticed a pattern. Whenever the leftmost image was either a red tower looking blot or a brown bird looking blot, that went into category A. The rest went into category B.","I used the red and brown colors and the left most image. In my mind, I thought, red towers and brown birds go to the left.",1,0,0,0,1
"s4_shape+color","p919175","low","I used the shape and the color of the bottom shape.","Bottom shape, gray or green.",1,0,0,0,1
"s4_shape+color","p984150","low","I tried to use what I learned in the learning phase/","Pink",0,0,0,0,0
"1A","p191463","low","I just chose randomly at first and then purple/orangish after feedback.",NA,0,0,0,NA,NA
"1A","p269913","low","I thin the images that were primarily green went in the right column but I was truly not sure.",NA,0,0,1,NA,NA
"1A","p382455","high","I put ones w/ 2 dark colors on the left and the opposite on the right",NA,0,1,1,NA,NA
"1A","p454214","low","A I saw alot of yellow and greennB was pink and greensnnwas my theory",NA,0,1,0,NA,NA
"1A","p490605","low","I tried to look at the shaded areas of the shapes and compare them to the earlier rounds. no other strategy really.",NA,0,0,0,NA,NA
"1A","p515928","low","I tried to put darker bottom colors to the right side.",NA,1,0,1,NA,NA
"1A","p590566","high","I noticed if A had lighter colors that combined to the third color it seemed to work to be A.  If it were darker colors I seleted B.",NA,0,0,1,NA,NA
"1A","p590888","high","Red blue and purple were in A. Yellow brown and orange were in B.",NA,0,1,0,NA,NA
"1A","p732251","high","Yes - If two out of three where red/yellow/purple they went in AnIf two out of three were fall colors then B",NA,0,1,1,NA,NA
"1A","p774924","low","second color",NA,1,0,0,NA,NA
"1A","p775527","low","I tried memorizing but there were to many variations.  I then tried only looking at the floor color - no good, then just went with intuition.",NA,0,0,0,NA,NA
"1A","p949615","high","B didn't have colors that could be created by other colors, A did",NA,0,0,0,NA,NA
"1B","p201158","low","At first it seemed that one color went left and then the other color went right, but that changed and I am not sure how what the new pattern was, but it seemed that 2 of a color went left then the next went right, then 2 right and 1 left, etc.  Not sure about this though. ",NA,0,0,0,NA,NA
"1B","p414165","low","Just tried to remember to colors of each circle.",NA,0,0,0,NA,NA
"1B","p417008","low","I tried to see what colors were going to which category. It appeared Red left went to A and pink R always went to B. It appeared Dark Green went to A. I was trying to find the pattern and the consistencies, but it was hard. More time and I may have been able to get it. ",NA,0,1,0,NA,NA
"1B","p437765","high","I ignored purple and put red, blue in A and brown yellow in B",NA,0,1,0,NA,NA
"1B","p765093","high","In my experience, it seemed that orange was a strong indicator of it going into category A.  Red and blue also played roles in them being distributed to the category B area.",NA,0,1,0,NA,NA
"1B","p81680","high","I seemed that any dot with Red belonged to category A. Any thing with Orange and Yellow went to category B.",NA,0,1,0,NA,NA
"1B","p847637","low","just the two top colors and the darkness of the colors",NA,0,1,1,NA,NA
"1B","p872286","low","I tried to identify some key trends - such as it seemed like the circles with the dark green colors always went in Category A and the circles with the lighter colors went into Category B.  Once I learned those rules, I tried to follow them with each round.",NA,0,0,1,NA,NA
"1B","p90211","low","I tried to remember the color combinations and associate each with either A or B. I picked a the relationship between a pair of colors and it fit fairly well.",NA,0,0,0,NA,NA
"1B","p954855","low","not really; black seemed to go on right and brighter colors on left",NA,0,0,1,NA,NA
"3A","p302215","high","I really had a hard time determining. I tried to tell if there was a relationship between the images (animals?) in the picture, or if they had a numeric value associated with them, but ultimately, I think it came down to memory.","There was a swan that I thought went more in category 'B', a large object on the left circle that I thought was in 'A' more often. There was one that looked a bit like a gecko that I thought was more in 'B', as well. ",0,1,0,NA,NA
"3A","p302821","high","There were 3 images so I figured the category would be based on either a single or combination of shapes.","For the second part where I wasn't told which was right or wrong, I used the right hand side of the images (Top right and bottom right)",0,1,0,NA,NA
"3A","p303516","high","At first it was trial and error, then when I noticed the pattern right off I kept on with it.","The shapes without the protruding sharp point went to A and the one with the pointed shape sticking up went to B.  I noticed that right off as I'm fairly good at seeing patterns quickly",0,1,0,NA,NA
"3A","p347685","low","I guessed on most of them, using shape orientation to guess.","I used the top shape to best guess.",1,0,0,NA,NA
"3A","p486003","low","I looked at the bottom third image to decide which category they go in.","I used the different sequencing of triangles in the images to decide which category they would go in.",0,0,0,NA,NA
"3A","p574428","low","I put images that were previously associated with Category A into the category A section, and vice versa.","I used the first shape shown on the left typically.",1,0,0,NA,NA
"3A","p651942","high","I tried to recognize combinations of shapes that were correctly categorized to either A or B","There was a shape with what looked to be a stick that went in category B.  There were a few with animal shapes that went in Category A",0,1,0,NA,NA
"3A","p669512","high","The \B\ were thinner, if that makes sense.","The shape the looked like a bear went to the \A\",1,0,1,NA,NA
"3A","p840203","low","Honestly it was hard and I don't think I know all the rules. I learned that some fit into their appropriate category by looking at one of the images and knowing that if one looks this way, it always goes into this category. but the images are so similar it's hard to remember and distinguish.","The bottom claps looking image.",1,0,0,NA,NA
"3A","p976178","high","If the image had abstract shapes I put it in Category A","shapes that looked like an elephant\nshapes that were all abstract looking",1,0,1,NA,NA
"3B","p10469","high","I looked at them as they were animals.  Some of them look like birds and frogs so I associate them with on category, while the other set look like an elephant.","The frog, bird, elephant shapes.",0,1,0,NA,NA
"3B","p180407","low","I used shapes that were on the left in category A and on the right for B. ","I just looked at the location of the shapes.",0,0,1,NA,NA
"3B","p195659","low","I was looking at the fullest black shape, and that always seemed to belong to category A.  If that shape wasn't in there, then it would go into category B","The shape that had the most full black in it. ",1,0,0,NA,NA
"3B","p201599","high","I decided based on specific pictures I saw that always seemed to go in one place.","I used two shapes in particular.",0,0,0,NA,NA
"3B","p20544","high","I tried to remember the feedback from the first phase.","I used the positioning of the images rather than the individual shapes.",0,0,1,NA,NA
"3B","p214248","low","i looked at the shapes","the ones that showed on the bottom",0,0,0,NA,NA
"3B","p215211","low","Depending on what part of the circle the images were. If they were on the right side i put them with B while left went to A.","No shape in particular depending on what side they were on i focused on.",0,0,1,NA,NA
"3B","p216949","low","I tried to pay attention to the shapes.","Some shapes looked like an open claw, others were closed.",0,0,0,NA,NA
"3B","p319316","low","looked at the images","one with the line",0,0,0,NA,NA
"3B","p337381","high","If it looked like an animal and a certain shape it went to A. the rest to b","animal and abstract",0,1,0,NA,NA
"3B","p376206","low","I USED THE CONTOURS OF THE THREE PREVALENT SHAPES TO HELP ME GET BY.","\THE BUNNY\ \THE HANGNAIL\ \THE WOLF\",0,1,0,NA,NA
"3B","p412048","high","Your graphics are glitching I can't see the question being asked for this space.\nIf you need me to fill it out, please email me after through Turk with the question and I'll respond asap.","Graphics are glitching, but I think I know what you're asking.   The \tower\ like piece went to the left side, the two blobs went to the right.",1,0,0,NA,NA
"3B","p478617","high","The feedback in the first portion led me to believe that it was based on the shapes alone.  There were only two pairs of shapes so this made sense to me.","They were random shapes that did not look like anything in particular but there were 2 different sets.",0,1,0,NA,NA
"3B","p480594","high","I tried to name the objects and then remember them","I used name like a fighter plane and a spear. ",1,0,0,NA,NA
"3B","p518712","low","I looked at which side of the circle the pattern was, but I don't think it helped. This feels random honestly. ","no particular shapes, just the sides of the circle",0,0,1,NA,NA
"3B","p526021","low","I tried to match where the shapes were. If the 2 were in a position the same as the others I put it with that group.","I\m not sure- only where the location was on the circle.",0,0,1,NA,NA
"3B","p548645","high","I paid attention to the shapes like the narrow shape was category A.","I tried to relate them to animals like a bird or a bear.",0,1,0,NA,NA
"3B","p563368","low","I simply guessed","what was on the left went into the left box and what was on the right went into the right box",0,0,1,NA,NA
"3B","p570473","high","I used the different shapes and compared them to a type of animal or person it looked like to remember the shapes.","the shape with the stick and the shape with the bird looking shape.",1,0,0,NA,NA
"3B","p592696","high","I paid attention to the shapes, then applied what I learned from the feedback.","polar bear, candlestick, airplane",0,1,0,NA,NA
"3B","p606343","low","I tried to notice what position the shapes were in and make an assumption based on that.","Top left two goes into A, Bottom right two goes into B.",0,0,1,NA,NA
"3B","p643245","low","I never did really figure out what determined the category, sorry.","I was trying to guess based on one I thought of as \bird\ but I never did figure out the rule.",1,0,0,NA,NA
"3B","p702382","high","If it had the shape of a \sloth\ or \Swan\ only it was A. If it had the tall strange shape it was B.","the tall shape vs animalish shapes",0,1,0,NA,NA
"3B","p707091","low","The shapes and which direction they were facing.","The right shapes.",0,0,1,NA,NA
"3B","p713006","low","There was one particular shape that I watched for that if I saw it, it meant it tended to be B.","THe blacks shapes within the pie chart",1,0,0,NA,NA
"3B","p726372","low","I looked at the shapes","ones that looked like faces",0,0,0,NA,NA
"3B","p728284","high","I formed an image of each figure. For example, I said to myself one is a goose and another is a bear in order to determine it.","Animal shapes, mostly.",0,0,0,NA,NA
"3B","p737158","low","There was a shape that looked like a dolphin and every time I saw it, I moved it to category A regardless of what other image it was paired with.","I used a dolphin, a school of killer whales, and a mermaid.",0,1,0,NA,NA
"3B","p825861","low","I noticed category A had a thicker image on one of the quadrants than category B did, so that's how I decided. ","The blobs, like mentioned above. One had a thicker quadrant.",0,0,1,NA,NA
"3B","p848496","low","I saw that certain shapes went to the category A and certain ones were in category B. When both images looked like a claw they were in A. The one that was more rectangular was in B.","two claw shapes vs. one that looked like one solid piece, more like a rectangle went in B.",0,1,0,NA,NA
"3B","p870808","low","Of the shapes that went into category A one shape had a closed crab like claw nature, for category B both shapes were open.","No particular shape was used to make my decision.",1,0,1,NA,NA
"3B","p88243","low","if the top image was on the right side it went to the right box, left side went to box on the left","the shapes all looked the same to  me",0,0,1,NA,NA
"3B","p885641","high","I was completely confused. At first I was looking to arrangements based on the location within the pie, but then decided that had no correlation. Then I tried to pay attention to shapes, but I had no ability to remember them, except the bear shaped one.","The sideways California bear.",0,0,0,NA,NA
"3B","p893551","high","I realized that the wheels that contained a somewhat vase-like shape were category A. The other shapes for category B were more roundish.","The skinny shape belonged in category A.",1,0,0,NA,NA
"3B","p962255","low","I tried to see if the position of the shapes on the pie made any difference but half the time I was wrong","I didn't see any particular shapes, they were just blobs to me",0,0,1,NA,NA
"3B","p983387","low","I looked at the specific shapes. I saw that for each category the exact same shapes appeared for each one.","The ones with the lines in middle was for category A, and the shapes that were opened were for B.",1,0,0,NA,NA
"3B","p995451","high","The 'fatter' shapes went into category B while anything that had a tall pylon shape went into category A","tall pylon",1,0,1,NA,NA
"s4_shape+color","p107490","high","I tried to remember which colors and images went in each box and focused more on the colors.","I used brown, orange and red to make my decisions.",0,1,0,1,0
"s4_shape+color","p107971","low","I tried to pay attention to shape and color. Some worked some didnt","the top one",1,0,0,0,0
"s4_shape+color","p163891","low","I tried to put the same colors or shapes together","the top shapes",1,0,0,0,0
"s4_shape+color","p183270","high","I used the color of the top shape if it was red it was more likely to be on the right. Also certain shapes on the bottom of the image were more likely to be on the right.","Red and the bottom shape.",0,1,0,1,0
"s4_shape+color","p183478","low","I paid attention to the shaps","Mostly the ones with the large inside square-like and rectangular-like images.",0,0,0,1,0
"s4_shape+color","p183989","high","I looked for similarities with the shapes and colors.","I saw animals in certain shapes.",0,0,0,0,0
"s4_shape+color","p193458","low","I looked at the shapes and when the symbols were slightly similar, but with different colors, i flipped the category. A lot of it was guessing but i think i had some kind of unconscious strategy that i cannot explain.","The combination of colors mostly, but if i had two in a row with one different color",0,1,0,0,1
"s4_shape+color","p222617","low","If the top one was the same shape or color as the previous image I put it in the same catergory. If the bottom image was the same shape but a different color I put it in the other catergory","The green and yellow ones were the ones I used the most.",0,1,0,0,1
"s4_shape+color","p292273","low","I used the feedback","green and red",0,0,0,1,0
"s4_shape+color","p305582","low","I paid attention to the color of each of the shapes.","The rabbit and the color",0,0,0,0,0
"s4_shape+color","p313267","low","Nope, I really tried to notice any particular pattern but then I got the same shape on both pieces of the wheel and somehow it went from being choice B to choice A. I really just believe this was random and you were attempting to get the user to think there was a pattern.","Green, weird shape that point to the top-left",0,0,0,0,0
"s4_shape+color","p328260","low","by color and shape and how the cracks are","green and pink",0,0,0,1,0
"s4_shape+color","p335042","low","I used the color of the first shape if it was red or green.","I used the color of the first shape if it was red or green.",1,0,0,1,0
"s4_shape+color","p342264","low","I paid attention to the shapes and colors","Greens and open shapes",0,0,1,1,0
"s4_shape+color","p348249","low","I was honestly just really confused and couldn't figure out a pattern.","There was one shape that looked kind of like an angel that usually went into B but I couldn't figure out a pattern.",0,0,0,1,0
"s4_shape+color","p352285","high","At first I tried to match up the colors, but then that didn't work all of the time. At that point, I found out that I got more right by relying on my instinct-what I thought was right intuitively.","I didn't use shapes, but I tried to put similar colors into the same category at first.",0,0,0,1,0
"s4_shape+color","p354857","high","I tried to remember which of the colors were placed into each category.","orange and brown",0,1,0,1,0
"s4_shape+color","p363168","high","i tried to remember ones i saw, and generally i feel like wider shapes went on the right.","red seemed to go on the left more as did the stalagmite looking shape",1,0,1,1,0
"s4_shape+color","p380222","high","It seemed like if two of the exact colors & shapes came up in a row they went to the same side. If they were completely diffrent they went opposite.","all",0,0,0,0,1
"s4_shape+color","p401150","high","I looked for the color and shape that went in each box. I honestly didn't understand some of the reasons they worked or didn't work at times. I used about 50% intuition. The rest was going by if a color and shape combo had worked in the previous step.","Orange, red, brown, and purple are the colors I remember. For shapes I assigned what it most looked like to me. So those categories were: candle stick, bird, and bear. One I didn't categorize.",0,1,0,0,1
"s4_shape+color","p406921","low","I tried matching shapes of the top figures, as well as sequencing the colors.","The claw shape, and the pink one were my base figures.",1,0,0,1,0
"s4_shape+color","p417187","high","i tried to remember which shapes were the right ones but it seemed like it changed often.","brown orange and big little",0,0,0,0,0
"s4_shape+color","p440869","high","I figured most of one shape in one color was on the right, and it was usually the left most shape","brown on the red, red on the left, triangle shaped 'head'.\nscribble was always on the right",1,0,0,0,1
"s4_shape+color","p448402","low","If the two shapes had shapes in common and one of those was the same color, I tended to put them in the same category.","I tended to sort darker colors together. Especially when they had a tan or lavender color with them.",0,1,1,0,1
"s4_shape+color","p451754","high","I tried to identify the \thin-ness\ or \thick-ness\ of a colored shape and decide if it was exclusive to one bin or the other, then used that to help develop a rule. ","Brown, Red, thin and thick",1,0,0,1,0
"s4_shape+color","p457687","high","I tried memorizing patterns and used feedback to remember if a certain pattern was right or wrong ","usually reds and browns",0,0,0,1,0
"s4_shape+color","p482327","low","I honestly couldn't figure out pattern so I alternated going back and forth.","The gaps in the shapes that aimed downward or sideways.",0,0,1,1,0
"s4_shape+color","p483874","low","For the first 3 (before they changed images) the pattern I started using was that if they were both bold (not faded), they went to category B. The exception to this is if the image on the left side was the one that looked like a \woman\ (in my head, the image looked like the outline of a woman's hairstyle). If that \woman\ was bold, she had to go into category A. Faded and she went to B. The ones mixed with faded/bold also went to A. I had no idea what I was doing on the last one though I felt like I instinctively wanted to drag certain ones into certain categories based on what I was doing before, though after I started thinking about it I lost track of that pattern and didn't know where anything went.","I was using the faded/bold colors to make my decisions and the thing that looked like a woman's hairstyle (or maybe it didn't, but at first glance that's what I saw so I went with it for the rest of the time and thought \woman\).",1,0,0,0,1
"s4_shape+color","p492001","high","I thought that I had a pretty good mental understanding of the colors, but I did disregard the shapes a bit.","Orange and brown were on both sides. Purple and brown was only on the left, I believe. Red and purple were more on the left than right. Again, admittedly, I did get caught up in the colors far more than the shapes (which did not work out so well, obviously).",0,1,0,1,0
"s4_shape+color","p530563","low","I used the previous feedback to help me decide, and at the same time I paid attention on the different shapes and colors.","red color",0,0,0,1,0
"s4_shape+color","p542577","low","I was pretty confused on the pattern that was used for the sorting. I tried to look at the shapes and certain shapes I would put in different categories. I also tried to look at the color and shading of the shapes. Some shapes were not as brightly colored as others.","The dimly colored shapes I tried to separate. It an image had to two brightly colored shapes I would put them to the right.",0,0,1,1,0
"s4_shape+color","p558389","low","I think it was a left/right pattern not the colors and shapes","none...very confusing!",0,0,0,0,0
"s4_shape+color","p57418","low","I tried to determine which combinations of shapes and colors yielded a correct answer. Shapes were remembered by their angles and the direction those angles pointed.","In the last trial, I sorted items with green on the bottom shape to the right side.",1,0,0,1,0
"s4_shape+color","p624968","low","I couldn't come up with a rule.  I noticed a certain pattern of pink would go into a particular group.  ","",1,0,0,1,0
"s4_shape+color","p626492","low","I tried to see if there was a pattern to the colors or shapes. Like, if there could only be two of a certain color or shape in a row.","Mustard yellow seemed to be important to me. The shape on the bottom right also seemed mildly important.",0,1,0,1,0
"s4_shape+color","p694245","low","I thought that the the shape and color combo had something to do with it so I followed my intuition and feedback.","The slightly arched ones, the ones that looked like a clawed hand combined with blue and red.",1,0,0,0,1
"s4_shape+color","p704671","high","I still was somewhat confused. Color and shape was a factor.","animal shapes and shapes with sharp corners. Wether the shape was orange or brown or red or purple guided my decisions",0,1,0,1,0
"s4_shape+color","p726390","low","I used the feedback and tried to differentiate between the images.  I was looking for a color pattern or a color combination pattern.  Same with the shape.","yellow, green",0,1,0,1,0
"s4_shape+color","p740274","low","Green/Blue shapes tended to go into category A, but only sometimes. It would be easy to sort if I had written down.","Green/Blue was usually category A, red/pink was usually category B, etc. I mostly went with gut feeling.",0,1,0,1,0
"s4_shape+color","p742929","high","I just tried to do my best to imagine which one they went to.","Tried to memorize which shape or color for the bottom item went where.",1,0,0,1,0
"s4_shape+color","p763076","high","I tried to pay attention to the shape and colors.","The brown and purple colors. I'm not really sure what the shapes were.",0,0,0,1,0
"s4_shape+color","p778643","low","If the two shapes were identical,  I separated them.  Just one was okay.  ","Red and purple",0,0,0,1,0
"s4_shape+color","p783052","high","It was always the images on the bottom.   the opposite color image would be in different boxes as well as shape","brown and red",1,0,0,0,1
"s4_shape+color","p794319","high","I first looked at the two shapes and sometimes i knew from that where it went if i wasn't sure after that i took the colors into account, as for some of the pictures has the same shapes but went into different boxes due to the color.","I feel that i took them all into account",0,1,0,0,1
"s4_shape+color","p812919","low","I tried to focus on two specific shapes.","the shapes on the right side",1,0,0,1,0
"s4_shape+color","p817960","high","I tried to pay attention to both shapes and colors. I looked at the combination of colors and shapes and tried to figure out a pattern.","I tried to concentrate on the red/purple combination the most.",0,1,0,1,0
"s4_shape+color","p843300","high","I tried to use my intuition and I was attempting to recognize the various patterns, shapes and colors that corresponded with each category.","Red, brown, orange ",0,0,0,1,0
"s4_shape+color","p967685","low","I couldn't really figure out a pattern, so I used luck ","Orange vs green mostly",1,0,0,1,0
"s4_shape+color","p99064","high","I tried to memorize the lower right object category.","All of them, depending.",1,0,0,1,0
"s4_shape+color","p991398","low","I could not figure out the categories at all. At the end of every phase, I was left confused and had no idea why each shape belonged to a category. I tried testing the colors, whether they were separated from the \top\ shape and \bottom\ shape, the orientation of the shapes, and the differences between angles of the shapes. I was not able to figure it out and I had difficulty remembering the shapes I organized before.","I tried to use all of them, but was left lost no matter what the shape or color was.",0,1,1,1,0
