"colorSet","colorName","nameability","RGB","hue","lightness","saturation","blue","brown","darkblue","darkgreenblue","grey","lightgreen","lightred","mustard","neonyellow","orange","pink","pinkpurple","purple","red","turquoise","yellow","yellowbrown","number_naming_responses","avg_words_per_response","percent_unique_words","simpson_diversity","modal_response_agreement","modal_response","rt_different","rt_different_ci","rt_same","rt_same_ci"
"colorset1","blue","high","[30, 90, 210]",0.611111111111111,0.470588235294118,0.75,NA,45.5603197988184,NA,NA,NA,NA,NA,NA,NA,56.3586210896164,NA,NA,20.9292011635125,48.1719378944356,NA,82.7081598446983,NA,122,1.18032786885246,0.145833333333333,0.671231546231546,0.80327868852459,"blue",557.403180376885,19.1791509221645,594.577070742643,27.2011706064439
"colorset1","brown","high","[120, 80, 40]",0.0833333333333333,0.313725490196078,0.5,45.5603197988184,NA,NA,NA,NA,NA,NA,NA,NA,31.0323602404806,NA,NA,46.2114165461138,23.671836167297,NA,51.960102204069,NA,209,1.14832535885167,0.129166666666667,0.647559274755927,0.818181818181818,"brown",577.125836222979,19.7460085747434,602.028090388691,20.3442186724715
"colorset1","darkgreenblue","low","[70, 100, 90]",0.444444444444444,0.333333333333333,0.176470588235294,NA,NA,NA,NA,NA,NA,40.2864466506493,35.7968733221888,46.570130753365,NA,42.5629076402525,NA,NA,NA,33.6169505127956,NA,NA,153,1.81699346405229,0.219424460431655,0.127964054748981,0.0980392156862745,"grey,grey.green",575.245896247528,21.2377342588968,615.395283414945,30.7518234727667
"colorset1","lightred","low","[200, 100, 70]",0.0384615384615385,0.529411764705882,0.541666666666667,NA,NA,NA,40.2864466506493,NA,NA,NA,36.5544080282845,49.6566245477111,NA,23.6757886412278,NA,NA,NA,46.5027061300008,NA,NA,161,1.56521739130435,0.301587301587302,0.0510971985075571,0.0869565217391304,"brown",554.357471030533,16.1760839556094,623.003212031653,27.5076973080242
"colorset1","mustard","low","[170, 160, 40]",0.153846153846154,0.411764705882353,0.619047619047619,NA,NA,NA,35.7968733221888,NA,NA,36.5544080282844,NA,21.4243691375284,NA,32.076849763291,NA,NA,NA,27.5505873303954,NA,NA,159,1.56603773584906,0.289156626506024,0.0562572872133696,0.0691823899371069,"olive,mustard",587.36993098542,21.9513360756903,638.876691800945,34.1851663484468
"colorset1","neonyellow","low","[220, 240, 150]",0.203703703703704,0.764705882352941,0.75,NA,NA,NA,46.570130753365,NA,NA,49.6566245477111,21.4243691375284,NA,NA,35.0687704252878,NA,NA,NA,21.0281726497831,NA,NA,152,1.74342105263158,0.286792452830189,0.0794739851343625,0.0526315789473684,"pale.green,green",578.898980314005,19.1529464253834,657.958809582778,39.9059102162676
"colorset1","orange","high","[250, 120, 30]",0.0681818181818182,0.549019607843137,0.956521739130435,56.3586210896164,31.0323602404806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.9485237623525,21.0143069331196,NA,42.2102778677641,NA,154,1.08441558441558,0.125748502994012,0.732847557896256,0.850649350649351,"orange",575.205984799846,16.3113485437363,603.046000493838,28.0710380976485
"colorset1","pink","low","[200, 170, 170]",0,0.725490196078431,0.214285714285714,NA,NA,NA,42.5629076402525,NA,NA,23.6757886412278,32.076849763291,35.0687704252878,NA,NA,NA,NA,NA,35.0526000445879,NA,NA,133,1.5187969924812,0.277227722772277,0.05443081621595,0.0676691729323308,"grey",581.747817488616,18.788078814158,613.651134067278,29.0496420529691
"colorset1","purple","high","[130, 30, 180]",0.777777777777778,0.411764705882353,0.714285714285714,20.9292011635125,46.2114165461138,NA,NA,NA,NA,NA,NA,NA,57.9485237623525,NA,NA,NA,43.7378700028148,NA,93.2420663943032,NA,151,1.09933774834437,0.108433734939759,0.672362175976634,0.821192052980132,"purple",577.588230964175,18.7105543172529,602.311993465475,33.6010614992309
"colorset1","red","high","[220, 20, 0]",0.0151515151515151,0.431372549019608,1,48.1719378944356,23.671836167297,NA,NA,NA,NA,NA,NA,NA,21.0143069331197,NA,NA,43.7378700028148,NA,NA,61.9485272047724,NA,133,1.13533834586466,0.119205298013245,0.696953642384106,0.827067669172932,"red",587.141526536017,15.4049128675076,581.626157633004,24.8957939416151
"colorset1","turquoise","low","[150, 200, 180]",0.433333333333333,0.686274509803922,0.3125,NA,NA,NA,33.6169505127956,NA,NA,46.5027061300008,27.5505873303954,21.0281726497831,NA,35.0526000445879,NA,NA,NA,NA,NA,NA,167,1.92814371257485,0.220496894409938,0.083609063292119,0.0598802395209581,"green",579.571092291762,19.855523036729,618.483816501011,27.8368015636044
"colorset1","yellow","high","[250, 240, 0]",0.16,0.490196078431373,1,82.7081598446983,51.960102204069,NA,NA,NA,NA,NA,NA,NA,42.2102778677642,NA,NA,93.2420663943031,61.9485272047724,NA,NA,NA,104,1.14423076923077,0.151260504201681,0.664292835778379,0.817307692307692,"yellow",567.934840291435,22.4343783705056,605.892691903827,23.7137556610148
"colorset2","blue","high","[10, 90, 210]",0.6,0.431372549019608,0.909090909090909,NA,46.5740844929125,NA,NA,30.2650647928461,NA,NA,NA,NA,56.6325281317702,NA,NA,21.6908335558281,48.8624011509602,NA,NA,NA,114,1.18421052631579,0.118518518518519,0.676727473742399,0.807017543859649,"blue",525.654051135847,14.7069381805232,550.588295482388,20.7110766063911
"colorset2","brown","high","[100, 60, 20]",0.0833333333333333,0.235294117647059,0.666666666666667,46.5740844929125,NA,NA,NA,30.1473045252209,NA,NA,NA,NA,37.4818721786858,NA,NA,46.2789572139707,29.3966653351858,NA,NA,NA,225,1.12,0.0912698412698413,0.715424018212863,0.844444444444444,"brown",527.284086558278,12.8848549464737,577.326957122492,21.9148408365236
"colorset2","darkblue","low","[50, 80, 100]",0.566666666666667,0.294117647058824,0.333333333333333,NA,NA,NA,NA,NA,49.423409005401,NA,NA,56.9561371000812,NA,46.4636101128041,38.0850312835973,NA,NA,NA,NA,38.6217423149187,184,1.7445652173913,0.149532710280374,0.179867601246106,0.146739130434783,"blue",529.305918270895,10.1432247845074,562.897617502317,15.0463296304043
"colorset2","grey","high","[130, 130, 130]",0,0.509803921568627,0,30.2650647928461,30.1473045252209,NA,NA,NA,NA,NA,NA,NA,30.0918653307816,NA,NA,33.8889152326274,30.8929240659821,NA,NA,NA,139,1.17985611510791,0.115853658536585,0.639533143797696,0.784172661870504,"grey",523.703351322307,11.5932461574155,566.66669834903,14.503310432803
"colorset2","lightgreen","low","[190, 220, 210]",0.444444444444444,0.803921568627451,0.3,NA,NA,49.423409005401,NA,NA,NA,NA,NA,28.7716368140706,NA,32.2134787805216,63.7128973742875,NA,NA,NA,NA,43.3880566085795,140,1.86428571428571,0.210727969348659,0.112849985263778,0.142857142857143,"light.blue",528.776610008252,9.78172112893343,563.154154900287,12.6347401623335
"colorset2","neonyellow","low","[160, 180, 20]",0.1875,0.392156862745098,0.8,NA,NA,56.9561371000812,NA,NA,28.7716368140706,NA,NA,NA,NA,48.2595602675787,74.7591635621586,NA,NA,NA,NA,27.9666650788063,224,1.67410714285714,0.173333333333333,0.157475935828877,0.133928571428571,"green",536.589760586141,15.2581658103867,581.856689094389,21.2076985737529
"colorset2","orange","high","[250, 120, 30]",0.0681818181818182,0.549019607843137,0.956521739130435,56.6325281317702,37.4818721786858,NA,NA,30.0918653307816,NA,NA,NA,NA,NA,NA,NA,57.9485237623525,19.5872791716203,NA,NA,NA,154,1.08441558441558,0.125748502994012,0.732847557896256,0.850649350649351,"orange",533.063318163327,16.1307331063073,572.729007906252,18.4452587375109
"colorset2","pink","low","[200, 160, 180]",0.916666666666667,0.705882352941176,0.266666666666667,NA,NA,46.4636101128041,NA,NA,32.2134787805216,NA,NA,48.2595602675787,NA,NA,38.7992650600432,NA,NA,NA,NA,46.4578757113258,213,1.54929577464789,0.187878787878788,0.0785299806576402,0.107981220657277,"light.purple",518.401349346433,11.4915047262611,562.835496152994,15.9601972428493
"colorset2","pinkpurple","low","[160, 0, 80]",0.916666666666667,0.313725490196078,1,NA,NA,38.0850312835973,NA,NA,63.7128973742875,NA,NA,74.7591635621585,NA,38.7992650600432,NA,NA,NA,NA,NA,51.9109442634097,134,1.42537313432836,0.256544502617801,0.0662992559933866,0.126865671641791,"magenta",520.466046432219,12.8223804800126,545.271298181949,21.2862319697311
"colorset2","purple","high","[130, 30, 180]",0.777777777777778,0.411764705882353,0.714285714285714,21.6908335558281,46.2789572139707,NA,NA,33.8889152326274,NA,NA,NA,NA,57.9485237623525,NA,NA,NA,43.9613484952233,NA,NA,NA,151,1.09933774834437,0.108433734939759,0.672362175976634,0.821192052980132,"purple",523.5356186715,14.1575549696003,576.222193400529,26.744631550274
"colorset2","red","high","[240, 0, 10]",0.993055555555556,0.470588235294118,1,48.8624011509602,29.3966653351858,NA,NA,30.8929240659821,NA,NA,NA,NA,19.5872791716203,NA,NA,43.9613484952233,NA,NA,NA,NA,108,1.15740740740741,0.08,0.734838709677419,0.851851851851852,"red",533.028028448503,17.8197873257014,551.275808717493,18.5816753766466
"colorset2","yellowbrown","low","[110, 100, 10]",0.15,0.235294117647059,0.833333333333333,NA,NA,38.6217423149187,NA,NA,43.3880566085795,NA,NA,27.9666650788063,NA,46.4578757113258,51.9109442634097,NA,NA,NA,NA,NA,159,1.67295597484277,0.24812030075188,0.111079585756845,0.113207547169811,"brown",535.585147980008,16.1695060477175,573.228238160455,27.4950585422325
